Heure,Est-Etang-de-Berre,Aix-en-Provence,Sud-Est,Ouest-Etang-de-Berre,Nord-Ouest,Hors_AMP,Total
4,28.0,36.0,34.0,8.0,4.0,11.0,1013.0
5,254.0,320.0,301.0,71.0,43.0,103.0,8901.0
6,778.0,981.0,923.0,218.0,134.0,316.0,27239.0
7,3083.0,3889.0,3660.0,864.0,531.0,1254.0,107935.0
8,8747.0,11030.0,10381.0,2451.0,1507.0,3556.0,306131.0
9,5743.0,7242.0,6816.0,1609.0,989.0,2335.0,201000.0
10,4721.0,5954.0,5603.0,1323.0,813.0,1919.0,165246.0
11,4604.0,5806.0,5464.0,1290.0,793.0,1872.0,161138.0
12,5519.0,6960.0,6550.0,1546.0,950.0,2244.0,193159.0
13,5379.0,6783.0,6384.0,1507.0,926.0,2187.0,188262.0
14,4917.0,6201.0,5836.0,1378.0,847.0,1999.0,172118.0
15,4514.0,5693.0,5357.0,1265.0,777.0,1835.0,158000.0
16,5247.0,6617.0,6227.0,1470.0,904.0,2133.0,183650.0
17,7483.0,9436.0,8881.0,2097.0,1289.0,3042.0,261895.0
18,7924.0,9993.0,9404.0,2220.0,1365.0,3222.0,277337.0
19,5653.0,7128.0,6709.0,1584.0,973.0,2298.0,197845.0
20,3774.0,4759.0,4479.0,1057.0,650.0,1534.0,132088.0
21,2265.0,2857.0,2689.0,635.0,390.0,921.0,79303.0
22,1215.0,1532.0,1442.0,340.0,209.0,494.0,42528.0
23,778.0,981.0,923.0,218.0,134.0,316.0,27244.0
0,509.0,642.0,604.0,142.0,87.0,207.0,17824.0
1,244.0,308.0,290.0,68.0,42.0,99.0,8564.0
2,97.0,123.0,115.0,27.0,16.0,39.0,3419.0
3,14.0,18.0,17.0,4.0,2.0,5.0,507.0
